	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.28213249153665204	0.3669638087536212	0.31345972828798424	0.29871895179640684	0.6992177595714176	0.38036131264688394	1.0069612429819104	0.3027942848044134	0.2609907877461814
LEB_d	0.28213249153665204	0.0	0.4098922470251222	0.1763410550860857	0.39692136253846644	0.4975491966480411	0.23190898439891033	0.7944901581181376	0.17290361678826788	0.4167180787708174
LEB_k	0.3669638087536212	0.4098922470251222	0.0	0.3807930511875371	0.16836640338858735	0.8525446847837411	0.45109954739849545	1.1690544832470784	0.41803240549066434	0.34484379280014993
TUR_d	0.31345972828798424	0.1763410550860857	0.3807930511875371	0.0	0.3655506973589086	0.5024079277230934	0.13916330995401233	0.8314514086318	0.15364375883767808	0.43152958936916536
TUR_k	0.29871895179640684	0.39692136253846644	0.16836640338858735	0.3655506973589086	0.0	0.8490458796931006	0.44646035027250813	1.1644689195792255	0.3845991080100719	0.24484679344645233
UZB_d	0.6992177595714176	0.4975491966480411	0.8525446847837411	0.5024079277230934	0.8490458796931006	0.0	0.43383058904806565	0.3760798359984004	0.5113296814128109	0.8651517123615051
UZB_k	0.38036131264688394	0.23190898439891033	0.45109954739849545	0.13916330995401233	0.44646035027250813	0.43383058904806565	0.0	0.7792401320458431	0.1903956281334684	0.5046484423857057
IND_d	1.0069612429819104	0.7944901581181376	1.1690544832470784	0.8314514086318	1.1644689195792255	0.3760798359984004	0.7792401320458431	0.0	0.8206221981628966	1.1658036448512212
MOR_d	0.3027942848044134	0.17290361678826788	0.41803240549066434	0.15364375883767808	0.3845991080100719	0.5113296814128109	0.1903956281334684	0.8206221981628966	0.0	0.3903002170096497
MOR_k	0.2609907877461814	0.4167180787708174	0.34484379280014993	0.43152958936916536	0.24484679344645233	0.8651517123615051	0.5046484423857057	1.1658036448512212	0.3903002170096497	0.0
